Program_ID,Code,Label_Counterexample,Search_Steps
0,"[('*', 'x7', 'x3', 'v0'), ('+', 'x0', 'x6', 'v1'), ('//', 'x6', 'x4', 'v2'), ('*', 'x2', 'const_0', 'v3'), ('//', 'const_1', 'x3', 'v4'), ('//', 'x9', 'x0', 'v5'), ('+', 'const_0', 'x5', 'v6'), ('*', 'v4', 'x5', 'v7'), ('+', 'x3', 'v6', 'v8'), ('*', 'x8', 'v7', 'v9')]","(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",83
1,"[('+', 'const_1', 'x5', 'v0'), ('*', 'x9', 'x1', 'v1'), ('//', 'x5', 'x7', 'v2'), ('+', 'x3', 'x9', 'v3'), ('+', 'x4', 'const_1', 'v4'), ('+', 'x7', 'v4', 'v5'), ('//', 'v4', 'v5', 'v6'), ('+', 'x6', 'const_1', 'v7'), ('//', 'const_1', 'x0', 'v8'), ('*', 'v1', 'x0', 'v9')]","(1, 1, 0, 0, 0, 0, 0, 0, 0, 1)",770
2,"[('*', 'x6', 'x0', 'v0'), ('+', 'x2', 'x5', 'v1'), ('*', 'x4', 'x7', 'v2'), ('*', 'v1', 'x8', 'v3'), ('*', 'v2', 'v1', 'v4'), ('//', 'const_1', 'x7', 'v5'), ('//', 'x3', 'v4', 'v6'), ('//', 'v0', 'x4', 'v7'), ('//', 'const_0', 'x0', 'v8'), ('//', 'v2', 'v2', 'v9')]","(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",37
3,"[('*', 'x7', 'const_0', 'v0'), ('*', 'x3', 'const_0', 'v1'), ('+', 'const_1', 'x9', 'v2'), ('+', 'const_1', 'x3', 'v3'), ('*', 'v3', 'x2', 'v4'), ('//', 'x3', 'x2', 'v5'), ('//', 'x5', 'v2', 'v6'), ('+', 'x1', 'v0', 'v7'), ('*', 'v4', 'x1', 'v8'), ('+', 'v0', 'v2', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",1
4,"[('*', 'x6', 'x9', 'v0'), ('*', 'const_0', 'const_1', 'v1'), ('//', 'v0', 'x2', 'v2'), ('//', 'x1', 'x7', 'v3'), ('+', 'const_0', 'x6', 'v4'), ('+', 'v4', 'v3', 'v5'), ('*', 'x8', 'v2', 'v6'), ('+', 'x4', 'x4', 'v7'), ('*', 'v6', 'x1', 'v8'), ('//', 'v1', 'v2', 'v9')]",None,1024
5,"[('*', 'x2', 'const_0', 'v0'), ('+', 'x2', 'x3', 'v1'), ('*', 'x2', 'x1', 'v2'), ('+', 'x0', 'x8', 'v3'), ('*', 'x4', 'v1', 'v4'), ('+', 'x2', 'v1', 'v5'), ('//', 'v1', 'x9', 'v6'), ('+', 'v4', 'x3', 'v7'), ('*', 'v6', 'v6', 'v8'), ('*', 'const_0', 'const_0', 'v9')]",None,1024
6,"[('//', 'x8', 'x1', 'v0'), ('+', 'const_1', 'x9', 'v1'), ('*', 'v1', 'x2', 'v2'), ('*', 'v1', 'const_1', 'v3'), ('*', 'v3', 'x7', 'v4'), ('+', 'v4', 'x0', 'v5'), ('*', 'x2', 'x5', 'v6'), ('//', 'v2', 'x2', 'v7'), ('+', 'x8', 'v6', 'v8'), ('*', 'const_0', 'v4', 'v9')]",None,1024
7,"[('*', 'x3', 'x1', 'v0'), ('*', 'x3', 'v0', 'v1'), ('*', 'x9', 'v1', 'v2'), ('*', 'x2', 'x3', 'v3'), ('//', 'v2', 'x2', 'v4'), ('//', 'x8', 'x4', 'v5'), ('//', 'x2', 'x8', 'v6'), ('*', 'v6', 'v6', 'v7'), ('//', 'x7', 'v3', 'v8'), ('*', 'v1', 'x1', 'v9')]","(0, 1, 0, 1, 0, 0, 0, 0, 0, 0)",321
8,"[('*', 'x0', 'x5', 'v0'), ('*', 'x8', 'const_0', 'v1'), ('*', 'x7', 'x8', 'v2'), ('//', 'x3', 'x0', 'v3'), ('+', 'const_0', 'x0', 'v4'), ('+', 'x8', 'v3', 'v5'), ('*', 'v0', 'v3', 'v6'), ('*', 'const_1', 'x5', 'v7'), ('//', 'x9', 'v1', 'v8'), ('*', 'x4', 'v6', 'v9')]","(1, 0, 0, 1, 1, 1, 0, 0, 0, 0)",625
9,"[('//', 'x5', 'x5', 'v0'), ('*', 'x5', 'const_0', 'v1'), ('*', 'x9', 'const_0', 'v2'), ('//', 'x7', 'x0', 'v3'), ('*', 'x1', 'v0', 'v4'), ('*', 'v2', 'x2', 'v5'), ('//', 'x8', 'v1', 'v6'), ('+', 'x0', 'v2', 'v7'), ('+', 'v4', 'v3', 'v8'), ('//', 'const_1', 'x8', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
10,"[('*', 'const_0', 'x6', 'v0'), ('*', 'x9', 'x7', 'v1'), ('*', 'const_1', 'v0', 'v2'), ('*', 'v1', 'v0', 'v3'), ('+', 'v2', 'x1', 'v4'), ('//', 'const_1', 'x2', 'v5'), ('+', 'const_1', 'x5', 'v6'), ('//', 'const_1', 'x1', 'v7'), ('+', 'x1', 'x3', 'v8'), ('//', 'x6', 'v2', 'v9')]",None,1024
11,"[('+', 'x8', 'x4', 'v0'), ('*', 'x4', 'x5', 'v1'), ('*', 'x6', 'x7', 'v2'), ('*', 'v0', 'x3', 'v3'), ('+', 'v3', 'v2', 'v4'), ('*', 'v4', 'x5', 'v5'), ('//', 'const_0', 'v5', 'v6'), ('*', 'v1', 'x5', 'v7'), ('*', 'v2', 'x8', 'v8'), ('//', 'const_1', 'v1', 'v9')]","(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",49
12,"[('//', 'x4', 'const_1', 'v0'), ('+', 'const_1', 'x4', 'v1'), ('*', 'x2', 'v0', 'v2'), ('//', 'x6', 'v2', 'v3'), ('//', 'x2', 'v0', 'v4'), ('*', 'const_0', 'const_1', 'v5'), ('//', 'const_1', 'x3', 'v6'), ('+', 'v2', 'v5', 'v7'), ('+', 'const_1', 'v1', 'v8'), ('*', 'const_1', 'x6', 'v9')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",9
13,"[('//', 'const_1', 'x8', 'v0'), ('//', 'x7', 'x1', 'v1'), ('+', 'x8', 'x9', 'v2'), ('*', 'x5', 'x4', 'v3'), ('*', 'v0', 'x7', 'v4'), ('*', 'x4', 'x2', 'v5'), ('+', 'x5', 'v3', 'v6'), ('//', 'v6', 'x9', 'v7'), ('*', 'v5', 'v2', 'v8'), ('*', 'x9', 'v8', 'v9')]","(0, 0, 1, 0, 1, 0, 0, 0, 0, 1)",162
14,"[('//', 'x8', 'x2', 'v0'), ('*', 'x5', 'x6', 'v1'), ('//', 'v0', 'x7', 'v2'), ('//', 'const_1', 'x1', 'v3'), ('//', 'x1', 'x0', 'v4'), ('*', 'x2', 'x6', 'v5'), ('//', 'v5', 'x7', 'v6'), ('*', 'v1', 'v2', 'v7'), ('*', 'x7', 'x7', 'v8'), ('//', 'x3', 'x3', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",65
15,"[('//', 'x3', 'x2', 'v0'), ('*', 'x2', 'x7', 'v1'), ('+', 'x1', 'x7', 'v2'), ('+', 'x9', 'x0', 'v3'), ('*', 'x1', 'v0', 'v4'), ('//', 'x9', 'const_1', 'v5'), ('//', 'v3', 'const_1', 'v6'), ('*', 'v3', 'const_0', 'v7'), ('+', 'const_0', 'const_0', 'v8'), ('*', 'x2', 'x2', 'v9')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",129
16,"[('+', 'x8', 'const_1', 'v0'), ('*', 'x2', 'x0', 'v1'), ('+', 'x4', 'x4', 'v2'), ('//', 'x5', 'x9', 'v3'), ('*', 'x0', 'const_0', 'v4'), ('//', 'const_0', 'v1', 'v5'), ('+', 'v2', 'const_0', 'v6'), ('//', 'x4', 'v3', 'v7'), ('//', 'x7', 'v2', 'v8'), ('//', 'v1', 'v1', 'v9')]","(1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",641
17,"[('+', 'x7', 'x6', 'v0'), ('*', 'const_0', 'x2', 'v1'), ('//', 'x9', 'x3', 'v2'), ('+', 'x6', 'x1', 'v3'), ('*', 'x5', 'x4', 'v4'), ('+', 'const_0', 'x6', 'v5'), ('//', 'x6', 'const_1', 'v6'), ('*', 'x3', 'x0', 'v7'), ('//', 'x8', 'x7', 'v8'), ('//', 'x9', 'v0', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",6
18,"[('*', 'x3', 'x0', 'v0'), ('+', 'x5', 'x2', 'v1'), ('//', 'x0', 'v0', 'v2'), ('+', 'x6', 'x5', 'v3'), ('+', 'const_1', 'x2', 'v4'), ('+', 'x8', 'x4', 'v5'), ('+', 'v1', 'x8', 'v6'), ('+', 'v3', 'x4', 'v7'), ('*', 'const_1', 'x7', 'v8'), ('*', 'v5', 'v4', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
19,"[('*', 'x2', 'x4', 'v0'), ('+', 'x1', 'x8', 'v1'), ('//', 'x7', 'x7', 'v2'), ('+', 'const_0', 'x5', 'v3'), ('*', 'const_1', 'x5', 'v4'), ('//', 'v2', 'x2', 'v5'), ('+', 'const_0', 'v4', 'v6'), ('//', 'v1', 'x3', 'v7'), ('*', 'x5', 'x5', 'v8'), ('+', 'v2', 'v4', 'v9')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
20,"[('+', 'x8', 'x6', 'v0'), ('+', 'x4', 'x8', 'v1'), ('*', 'x1', 'x8', 'v2'), ('*', 'x1', 'x4', 'v3'), ('//', 'x3', 'x0', 'v4'), ('+', 'x6', 'v2', 'v5'), ('+', 'v3', 'x1', 'v6'), ('+', 'x1', 'v0', 'v7'), ('//', 'v1', 'x4', 'v8'), ('//', 'v1', 'x3', 'v9')]","(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",67
