Program_ID,Code,Label_Counterexample,Search_Steps
0,"[('//', 'const_1', 'const_1', 'v0'), ('*', 'x1', 'x8', 'v1'), ('+', 'x0', 'v1', 'v2'), ('//', 'x3', 'x6', 'v3'), ('+', 'x9', 'x2', 'v4'), ('*', 'x6', 'x5', 'v5'), ('+', 'const_1', 'x4', 'v6'), ('+', 'x2', 'v5', 'v7')]","(0, 0, 0, 0, 0, 1, 1, 0, 0, 0)",25
1,"[('//', 'x8', 'x6', 'v0'), ('//', 'x4', 'x9', 'v1'), ('*', 'const_0', 'x7', 'v2'), ('//', 'v2', 'v0', 'v3'), ('//', 'x1', 'const_1', 'v4'), ('+', 'x5', 'v4', 'v5'), ('//', 'x7', 'x8', 'v6'), ('*', 'v2', 'x3', 'v7')]",None,1024
2,"[('*', 'x9', 'const_1', 'v0'), ('*', 'x7', 'x5', 'v1'), ('+', 'x8', 'v1', 'v2'), ('//', 'x2', 'const_1', 'v3'), ('*', 'x8', 'v1', 'v4'), ('*', 'x4', 'x5', 'v5'), ('+', 'x5', 'v4', 'v6'), ('//', 'const_1', 'x5', 'v7')]","(0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",17
3,"[('+', 'const_1', 'x1', 'v0'), ('+', 'x1', 'const_0', 'v1'), ('+', 'x9', 'x9', 'v2'), ('//', 'x3', 'v0', 'v3'), ('//', 'v1', 'x1', 'v4'), ('*', 'x7', 'const_1', 'v5'), ('//', 'x2', 'x9', 'v6'), ('+', 'x0', 'x4', 'v7')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",33
4,"[('//', 'x9', 'x5', 'v0'), ('//', 'x9', 'x1', 'v1'), ('*', 'x1', 'x2', 'v2'), ('*', 'v0', 'x9', 'v3'), ('+', 'x5', 'v3', 'v4'), ('+', 'v1', 'const_0', 'v5'), ('+', 'x7', 'const_1', 'v6'), ('//', 'x7', 'const_1', 'v7')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
5,"[('*', 'x8', 'x5', 'v0'), ('+', 'x6', 'x8', 'v1'), ('//', 'x9', 'x3', 'v2'), ('//', 'v1', 'x0', 'v3'), ('+', 'x8', 'x4', 'v4'), ('+', 'x4', 'v3', 'v5'), ('//', 'v5', 'v5', 'v6'), ('*', 'v1', 'x3', 'v7')]","(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",67
6,"[('+', 'x1', 'x9', 'v0'), ('+', 'x4', 'x5', 'v1'), ('//', 'x8', 'x7', 'v2'), ('*', 'x8', 'x2', 'v3'), ('//', 'const_1', 'x5', 'v4'), ('*', 'v3', 'x8', 'v5'), ('//', 'v4', 'v0', 'v6'), ('+', 'x8', 'v1', 'v7')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
7,"[('//', 'x6', 'x4', 'v0'), ('//', 'x8', 'x4', 'v1'), ('+', 'x2', 'v0', 'v2'), ('//', 'x8', 'const_1', 'v3'), ('//', 'x0', 'const_1', 'v4'), ('+', 'v0', 'x6', 'v5'), ('*', 'x7', 'x1', 'v6'), ('+', 'v6', 'v2', 'v7')]","(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",41
8,"[('+', 'const_0', 'x3', 'v0'), ('*', 'x6', 'const_0', 'v1'), ('//', 'x8', 'const_1', 'v2'), ('//', 'v1', 'x2', 'v3'), ('*', 'x0', 'x1', 'v4'), ('//', 'const_0', 'v1', 'v5'), ('//', 'x6', 'x8', 'v6'), ('*', 'const_1', 'v0', 'v7')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",65
9,"[('*', 'x1', 'x1', 'v0'), ('//', 'v0', 'x5', 'v1'), ('//', 'x1', 'const_1', 'v2'), ('*', 'x5', 'v0', 'v3'), ('//', 'v0', 'x5', 'v4'), ('+', 'v4', 'x2', 'v5'), ('*', 'x0', 'v5', 'v6'), ('+', 'const_0', 'x4', 'v7')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",33
10,"[('+', 'x4', 'x6', 'v0'), ('*', 'const_0', 'v0', 'v1'), ('//', 'v1', 'x6', 'v2'), ('*', 'x1', 'v1', 'v3'), ('//', 'const_0', 'x4', 'v4'), ('+', 'x1', 'x7', 'v5'), ('+', 'x3', 'const_1', 'v6'), ('*', 'x0', 'v1', 'v7')]",None,1024
11,"[('*', 'x6', 'x8', 'v0'), ('*', 'x2', 'x3', 'v1'), ('*', 'x8', 'x1', 'v2'), ('+', 'x1', 'x5', 'v3'), ('//', 'x5', 'x9', 'v4'), ('*', 'x5', 'v1', 'v5'), ('*', 'x9', 'v1', 'v6'), ('*', 'v0', 'v4', 'v7')]","(0, 0, 0, 0, 0, 1, 1, 0, 1, 1)",28
12,"[('//', 'x9', 'x6', 'v0'), ('*', 'x2', 'x7', 'v1'), ('*', 'x9', 'x6', 'v2'), ('//', 'const_1', 'x1', 'v3'), ('+', 'v3', 'v0', 'v4'), ('+', 'x8', 'v4', 'v5'), ('*', 'x3', 'x4', 'v6'), ('*', 'v0', 'const_1', 'v7')]","(0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",10
13,"[('+', 'const_0', 'x2', 'v0'), ('*', 'x6', 'x9', 'v1'), ('//', 'const_0', 'x1', 'v2'), ('//', 'x1', 'x2', 'v3'), ('*', 'x6', 'x1', 'v4'), ('//', 'x8', 'v0', 'v5'), ('//', 'v1', 'const_1', 'v6'), ('*', 'x0', 'const_1', 'v7')]","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",513
14,"[('*', 'x6', 'x4', 'v0'), ('//', 'x2', 'x3', 'v1'), ('//', 'x7', 'x6', 'v2'), ('//', 'x0', 'v2', 'v3'), ('//', 'x7', 'x9', 'v4'), ('*', 'x5', 'x2', 'v5'), ('//', 'x8', 'const_1', 'v6'), ('*', 'x0', 'v0', 'v7')]","(1, 0, 0, 0, 1, 0, 1, 0, 0, 0)",553
15,"[('+', 'x0', 'x3', 'v0'), ('+', 'x2', 'const_0', 'v1'), ('+', 'x7', 'x2', 'v2'), ('*', 'x7', 'x2', 'v3'), ('+', 'x1', 'x1', 'v4'), ('+', 'x6', 'v1', 'v5'), ('+', 'x7', 'v2', 'v6'), ('*', 'x8', 'x8', 'v7')]","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3
16,"[('*', 'x4', 'x5', 'v0'), ('+', 'v0', 'x0', 'v1'), ('*', 'x5', 'const_0', 'v2'), ('*', 'v0', 'x9', 'v3'), ('+', 'x8', 'const_0', 'v4'), ('//', 'x0', 'x9', 'v5'), ('//', 'v1', 'x0', 'v6'), ('+', 'x3', 'v6', 'v7')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",65
17,"[('*', 'x2', 'const_0', 'v0'), ('//', 'x3', 'x5', 'v1'), ('*', 'x7', 'x3', 'v2'), ('*', 'x2', 'const_0', 'v3'), ('+', 'v1', 'v2', 'v4'), ('+', 'x5', 'x8', 'v5'), ('//', 'v5', 'x3', 'v6'), ('+', 'x4', 'v0', 'v7')]","(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",33
18,"[('+', 'const_0', 'const_1', 'v0'), ('//', 'x6', 'x3', 'v1'), ('*', 'x9', 'v0', 'v2'), ('*', 'x9', 'v0', 'v3'), ('//', 'v1', 'x4', 'v4'), ('*', 'v4', 'x8', 'v5'), ('+', 'x3', 'v0', 'v6'), ('*', 'x5', 'x8', 'v7')]","(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",19
19,"[('+', 'x6', 'const_0', 'v0'), ('+', 'x0', 'v0', 'v1'), ('+', 'x6', 'x2', 'v2'), ('//', 'v2', 'const_1', 'v3'), ('*', 'x2', 'x3', 'v4'), ('+', 'x8', 'x1', 'v5'), ('//', 'x9', 'x4', 'v6'), ('*', 'v5', 'x3', 'v7')]","(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",67
20,"[('//', 'x5', 'x6', 'v0'), ('+', 'x1', 'x5', 'v1'), ('//', 'x5', 'x6', 'v2'), ('+', 'const_0', 'x0', 'v3'), ('//', 'x5', 'x0', 'v4'), ('*', 'x6', 'x8', 'v5'), ('+', 'v0', 'x3', 'v6'), ('+', 'x3', 'x1', 'v7')]","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",65
21,"[('*', 'x4', 'const_0', 'v0'), ('//', 'x9', 'x6', 'v1'), ('//', 'x7', 'const_1', 'v2'), ('//', 'v0', 'x5', 'v3'), ('+', 'x5', 'x9', 'v4'), ('*', 'v2', 'v4', 'v5'), ('*', 'x7', 'const_0', 'v6'), ('*', 'const_1', 'x2', 'v7')]","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",129
22,"[('+', 'x3', 'x9', 'v0'), ('//', 'x9', 'x3', 'v1'), ('+', 'x3', 'x9', 'v2'), ('*', 'const_0', 'v2', 'v3'), ('+', 'x3', 'const_1', 'v4'), ('//', 'x9', 'const_1', 'v5'), ('*', 'x6', 'const_0', 'v6'), ('//', 'x7', 'x4', 'v7')]","(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",37
23,"[('*', 'x6', 'x2', 'v0'), ('+', 'x2', 'x2', 'v1'), ('+', 'x1', 'x7', 'v2'), ('*', 'x4', 'x3', 'v3'), ('//', 'x3', 'v2', 'v4'), ('//', 'x3', 'v3', 'v5'), ('+', 'x2', 'x3', 'v6'), ('+', 'v2', 'v5', 'v7')]","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",5
24,"[('+', 'const_0', 'x8', 'v0'), ('*', 'x5', 'x0', 'v1'), ('//', 'x2', 'x0', 'v2'), ('*', 'x1', 'x5', 'v3'), ('*', 'x6', 'x1', 'v4'), ('//', 'x5', 'x7', 'v5'), ('+', 'x4', 'x6', 'v6'), ('//', 'x6', 'v2', 'v7')]","(1, 0, 1, 0, 0, 0, 1, 0, 0, 0)",649
25,"[('*', 'x2', 'x7', 'v0'), ('//', 'x8', 'x6', 'v1'), ('*', 'const_0', 'v1', 'v2'), ('*', 'x0', 'x4', 'v3'), ('*', 'x7', 'v2', 'v4'), ('+', 'v1', 'x2', 'v5'), ('+', 'x4', 'x2', 'v6'), ('//', 'v4', 'x5', 'v7')]",None,1024
